	to	from
0	0_st24	0_st27
1	0_st24	1_st27
2	1_st24	3_st27
3	0_st24	2_st27
4	4_st24	6_st27
5	6_st24	4_st27
6	3_st24	5_st27
7	3_st24	7_st27
8	7_st24	8_st27
9	2_st22	0_st24
10	1_st22	1_st24
11	4_st22	4_st24
12	2_st22	2_st24
13	5_st22	3_st24
14	2_st22	5_st24
15	6_st22	6_st24
16	7_st22	7_st24
17	0_st20	0_st22
18	2_st20	1_st22
19	0_st20	2_st22
20	0_st20	3_st22
21	1_st20	4_st22
22	0_st20	5_st22
23	3_st20	6_st22
24	3_st20	7_st22
25	0_st18	0_st20
26	1_st18	1_st20
27	2_st18	2_st20
28	3_st18	3_st20
29	0_st16	0_st18
30	1_st16	1_st18
31	2_st16	2_st18
32	3_st16	3_st18
33	0_st13	0_st16
34	1_st13	1_st16
35	0_st13	3_st16
36	2_st13	2_st16
37	1_st12	0_st13
38	1_st12	1_st13
39	1_st12	2_st13
40	0_st10.5	0_st12
41	0_st10.5	1_st12
42	0_st08	0_st10.5
